                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.5221,                0.90021,                  1.171,                0.54778,                0.55361,                0.53541,                0.28443,                 1.4245,                0.87542,                  1.075,             0.00091175,             0.00091175,             0.00091175
                     85,                 1.5113,                0.89528,                 1.1666,                0.58158,                0.52824,                0.51958,                0.27653,                 1.4245,                 0.9542,                 1.0735,             0.00090763,             0.00090763,             0.00090763
                     86,                 1.4972,                0.88055,                 1.1697,                0.60201,                0.56306,                0.55247,                0.29141,                  1.431,                0.83643,                 1.0716,              0.0009035,              0.0009035,              0.0009035
                     87,                 1.5024,                0.87982,                 1.1654,                0.59116,                0.55241,                0.54858,                0.28937,                 1.4195,                0.88221,                 1.0697,             0.00089938,             0.00089938,             0.00089938
                     88,                  1.499,                 0.8732,                 1.1746,                0.59846,                0.55169,                0.53338,                0.28231,                 1.4196,                 0.8275,                 1.0719,             0.00089525,             0.00089525,             0.00089525
                     89,                 1.4885,                0.85956,                  1.154,                0.57554,                0.55722,                0.53633,                0.28309,                 1.4091,                 0.8527,                 1.0706,             0.00089112,             0.00089112,             0.00089112
                     90,                  1.482,                0.84174,                 1.1448,                0.55451,                0.55137,                0.53521,                0.28505,                 1.4194,                0.84928,                 1.0695,               0.000887,               0.000887,               0.000887
                     91,                  1.474,                0.85672,                  1.152,                0.55505,                0.56822,                0.53642,                0.28777,                 1.4051,                0.86807,                 1.0706,             0.00088288,             0.00088288,             0.00088288
                     92,                 1.4763,                0.84432,                 1.1463,                 0.5409,                0.56131,                0.52182,                0.27503,                 1.4192,                0.86232,                 1.0679,             0.00087875,             0.00087875,             0.00087875
                     93,                 1.4816,                0.85529,                 1.1536,                0.52685,                0.57304,                0.52175,                0.27526,                 1.4169,                0.85308,                  1.071,             0.00087462,             0.00087462,             0.00087462
                     94,                 1.4813,                0.85085,                 1.1467,                 0.5855,                0.56133,                0.54699,                0.29012,                 1.4113,                 0.8363,                 1.0688,              0.0008705,              0.0008705,              0.0008705
                     95,                 1.4744,                 0.8582,                 1.1562,                 0.5533,                0.54887,                0.53969,                0.28436,                 1.4212,                0.80268,                 1.0707,             0.00086637,             0.00086637,             0.00086637
                     96,                 1.4788,                0.85743,                 1.1449,                0.63204,                0.57062,                0.55871,                0.29588,                 1.4078,                0.81389,                 1.0657,             0.00086225,             0.00086225,             0.00086225
                     97,                 1.4748,                0.84559,                 1.1588,                0.60355,                0.54217,                 0.5396,                0.28685,                 1.4288,                0.80205,                 1.0667,             0.00085813,             0.00085813,             0.00085813
                     98,                 1.4654,                0.84604,                  1.147,                 0.6232,                0.53115,                0.54915,                0.29548,                  1.414,                 0.7993,                 1.0673,               0.000854,               0.000854,               0.000854
                     99,                 1.4885,                0.87501,                 1.1632,                0.58102,                0.55102,                0.53637,                0.28455,                  1.396,                0.84687,                 1.0676,             0.00084988,             0.00084988,             0.00084988
                    100,                 1.4708,                0.84607,                 1.1472,                 0.5686,                 0.5655,                0.52672,                0.28241,                 1.3926,                0.84038,                 1.0666,             0.00084575,             0.00084575,             0.00084575
                    101,                 1.4694,                0.86119,                 1.1681,                0.55215,                0.55686,                0.53686,                0.28645,                 1.4009,                0.80692,                 1.0659,             0.00084162,             0.00084162,             0.00084162
                    102,                 1.4526,                0.82813,                 1.1328,                 0.6273,                0.55638,                0.55268,                0.29432,                 1.4016,                0.88729,                 1.0637,              0.0008375,              0.0008375,              0.0008375
                    103,                 1.4688,                0.83646,                 1.1536,                0.60861,                0.53712,                 0.5569,                0.29599,                 1.4173,                0.83637,                 1.0683,             0.00083337,             0.00083337,             0.00083337
                    104,                  1.446,                0.83747,                 1.1436,                0.62589,                0.58149,                0.56445,                0.30315,                 1.3821,                0.78512,                 1.0631,             0.00082925,             0.00082925,             0.00082925
                    105,                 1.4624,                0.84516,                 1.1485,                0.55051,                0.57786,                0.54747,                0.29149,                 1.3879,                0.85151,                 1.0648,             0.00082513,             0.00082513,             0.00082513
                    106,                 1.4373,                0.83162,                 1.1409,                0.62282,                0.57387,                0.56669,                 0.3008,                 1.3883,                0.78301,                 1.0656,               0.000821,               0.000821,               0.000821
                    107,                 1.4295,                 0.8225,                 1.1284,                0.59173,                0.53834,                0.52609,                0.27989,                 1.4089,                0.86817,                  1.065,             0.00081688,             0.00081688,             0.00081688
                    108,                 1.4363,                0.81638,                 1.1289,                0.58705,                0.55895,                0.55946,                0.29772,                 1.3961,                0.83431,                 1.0669,             0.00081275,             0.00081275,             0.00081275
                    109,                 1.4585,                0.83458,                 1.1453,                0.65059,                0.52473,                0.55025,                0.29187,                 1.3958,                0.84246,                 1.0655,             0.00080863,             0.00080863,             0.00080863
                    110,                  1.464,                0.83974,                  1.154,                0.59968,                0.57453,                0.56615,                0.30238,                   1.39,                0.79127,                 1.0629,              0.0008045,              0.0008045,              0.0008045
                    111,                 1.4385,                0.82659,                  1.134,                0.63551,                0.55878,                0.56379,                0.30154,                 1.3952,                0.79944,                 1.0664,             0.00080038,             0.00080038,             0.00080038
                    112,                 1.4328,                0.82705,                   1.14,                0.61697,                0.56379,                0.57582,                0.31275,                 1.3805,                0.80957,                 1.0587,             0.00079625,             0.00079625,             0.00079625
                    113,                 1.4269,                0.80745,                 1.1353,                0.56974,                0.58568,                0.55797,                0.30222,                 1.3753,                0.79762,                 1.0602,             0.00079213,             0.00079213,             0.00079213
                    114,                 1.4246,                0.80676,                 1.1326,                 0.6449,                0.55221,                0.58031,                0.30863,                 1.3865,                0.79751,                 1.0655,               0.000788,               0.000788,               0.000788
                    115,                 1.4623,                0.84293,                 1.1469,                0.61698,                0.56534,                0.57545,                0.31315,                 1.3749,                0.76995,                   1.06,             0.00078387,             0.00078387,             0.00078387
                    116,                 1.4354,                0.80527,                 1.1359,                0.62989,                0.55405,                0.56992,                0.30829,                 1.3829,                0.79084,                 1.0606,             0.00077975,             0.00077975,             0.00077975
                    117,                 1.4328,                   0.82,                 1.1375,                0.61597,                0.55303,                0.55309,                0.29744,                 1.3922,                0.80329,                 1.0601,             0.00077563,             0.00077563,             0.00077563
                    118,                 1.4227,                0.80565,                 1.1352,                0.60305,                0.58132,                0.57084,                0.30898,                 1.3688,                0.78352,                 1.0577,              0.0007715,              0.0007715,              0.0007715
                    119,                 1.4287,                 0.8071,                 1.1325,                0.62187,                0.55617,                0.56398,                0.30229,                 1.3783,                0.78054,                 1.0629,             0.00076738,             0.00076738,             0.00076738
                    120,                 1.4269,                0.80469,                 1.1293,                0.61827,                0.56723,                0.55247,                0.29614,                 1.3783,                0.79204,                 1.0621,             0.00076325,             0.00076325,             0.00076325
                    121,                 1.4204,                0.80681,                  1.127,                0.62924,                0.56083,                0.56906,                 0.3047,                 1.3742,                0.77246,                 1.0624,             0.00075912,             0.00075912,             0.00075912
                    122,                  1.431,                0.82038,                  1.144,                0.63118,                0.56652,                0.57282,                 0.3095,                 1.3731,                0.76616,                 1.0591,               0.000755,               0.000755,               0.000755
                    123,                  1.415,                0.80136,                 1.1233,                0.59132,                0.59127,                0.56095,                0.30378,                 1.3802,                0.77824,                 1.0619,             0.00075088,             0.00075088,             0.00075088
                    124,                 1.4115,                0.79443,                 1.1353,                0.59065,                0.55954,                0.55307,                0.29682,                  1.376,                0.85504,                 1.0639,             0.00074675,             0.00074675,             0.00074675
                    125,                  1.402,                 0.7919,                 1.1276,                0.64694,                0.56005,                0.56451,                0.30316,                 1.3652,                0.77346,                 1.0595,             0.00074263,             0.00074263,             0.00074263
                    126,                 1.4044,                0.79373,                 1.1275,                0.60878,                0.56252,                0.54662,                0.29774,                 1.3644,                0.76895,                 1.0601,              0.0007385,              0.0007385,              0.0007385
                    127,                 1.4138,                0.77839,                 1.1167,                0.61807,                0.56789,                0.56333,                0.30341,                 1.3861,                0.77459,                 1.0626,             0.00073437,             0.00073437,             0.00073437
                    128,                 1.4051,                0.77249,                 1.1199,                0.62735,                0.55273,                0.56009,                0.30128,                 1.3694,                0.77187,                 1.0644,             0.00073025,             0.00073025,             0.00073025
                    129,                 1.4076,                0.78827,                 1.1273,                0.59626,                0.57871,                0.56339,                0.30494,                 1.3606,                 0.7464,                  1.059,             0.00072612,             0.00072612,             0.00072612
                    130,                 1.3877,                0.78215,                 1.1251,                0.62807,                0.57473,                 0.5673,                 0.3069,                 1.3686,                0.76384,                 1.0581,               0.000722,               0.000722,               0.000722
                    131,                 1.4142,                0.78958,                 1.1287,                0.58285,                0.58459,                0.55465,                0.29902,                 1.3722,                0.80851,                 1.0619,             0.00071788,             0.00071788,             0.00071788
                    132,                 1.3991,                0.77873,                 1.1201,                0.64053,                0.57949,                0.58181,                0.31258,                  1.367,                0.75893,                 1.0626,             0.00071375,             0.00071375,             0.00071375
                    133,                 1.4195,                0.80994,                 1.1411,                0.61604,                0.57281,                0.57087,                0.30545,                 1.3744,                0.79233,                 1.0625,             0.00070962,             0.00070962,             0.00070962
                    134,                 1.4094,                0.77403,                 1.1159,                0.65334,                0.58897,                0.58313,                0.31306,                 1.3716,                0.75612,                 1.0593,              0.0007055,              0.0007055,              0.0007055
                    135,                 1.3962,                0.78506,                 1.1292,                 0.6241,                0.57496,                0.57448,                 0.3047,                 1.3791,                0.79585,                 1.0615,             0.00070137,             0.00070137,             0.00070137
                    136,                 1.4005,                0.77261,                 1.1192,                 0.6347,                0.59004,                0.58076,                0.31348,                 1.3609,                0.74927,                 1.0619,             0.00069725,             0.00069725,             0.00069725
                    137,                 1.4049,                0.77417,                 1.1219,                   0.63,                0.57653,                0.56828,                0.30525,                 1.3729,                 0.8157,                 1.0643,             0.00069313,             0.00069313,             0.00069313
                    138,                   1.41,                0.78171,                 1.1201,                0.62802,                0.59035,                0.58034,                0.31191,                 1.3549,                0.75225,                 1.0554,               0.000689,               0.000689,               0.000689
                    139,                 1.3786,                0.75124,                 1.1072,                0.64957,                0.57183,                0.56903,                0.30792,                 1.3607,                0.75801,                 1.0601,             0.00068488,             0.00068488,             0.00068488
                    140,                 1.3859,                0.76381,                 1.1136,                0.61522,                0.59223,                0.57425,                0.31155,                 1.3603,                0.75132,                 1.0588,             0.00068075,             0.00068075,             0.00068075
                    141,                 1.4007,                0.78049,                 1.1172,                0.63077,                0.57076,                0.56336,                0.30225,                 1.3534,                0.77458,                 1.0627,             0.00067663,             0.00067663,             0.00067663
                    142,                 1.3881,                0.77186,                 1.1217,                0.64032,                0.57984,                0.57987,                0.31421,                 1.3687,                0.74408,                 1.0603,              0.0006725,              0.0006725,              0.0006725
                    143,                 1.3803,                0.77417,                 1.1157,                0.66108,                0.58124,                0.57855,                0.30972,                 1.3621,                0.74981,                 1.0629,             0.00066838,             0.00066838,             0.00066838
                    144,                 1.3835,                0.75861,                 1.1067,                0.62647,                 0.5867,                0.57404,                  0.309,                 1.3512,                 0.7684,                 1.0603,             0.00066425,             0.00066425,             0.00066425
                    145,                 1.3804,                0.76149,                 1.1088,                0.63868,                0.57046,                0.56934,                0.30758,                 1.3572,                0.76047,                 1.0606,             0.00066013,             0.00066013,             0.00066013
                    146,                 1.3748,                0.75875,                 1.1104,                0.65344,                0.57496,                 0.5842,                0.31712,                 1.3564,                0.75071,                 1.0603,               0.000656,               0.000656,               0.000656
                    147,                 1.3703,                0.74576,                 1.1026,                0.64862,                0.57558,                0.57512,                0.31276,                 1.3518,                0.76031,                 1.0608,             0.00065188,             0.00065188,             0.00065188
                    148,                 1.3629,                0.74119,                 1.1143,                0.65566,                0.58062,                0.57831,                0.31209,                 1.3632,                0.74052,                 1.0591,             0.00064775,             0.00064775,             0.00064775
                    149,                 1.3795,                0.75052,                 1.1052,                 0.6389,                0.59057,                0.57522,                 0.3153,                 1.3469,                0.74772,                  1.054,             0.00064362,             0.00064362,             0.00064362
                    150,                 1.3837,                0.75186,                 1.1079,                 0.6551,                0.56049,                0.58798,                0.31798,                 1.3572,                0.74149,                 1.0576,              0.0006395,              0.0006395,              0.0006395
